Date,Start Time,End Time,Planned Duration (min),Actual Duration (min),Rest Count
2025-11-06,16:12:34,16:12:57,90,0.38,0
2025-11-06,16:17:03,16:19:48,90,2.76,0
2025-11-06,16:23:58,16:24:04,90,0.11,0
2025-11-06,16:24:05,16:33:34,90,9.49,1
2025-11-06,16:34:37,16:34:38,90,0.02,0
2025-11-06,16:34:48,16:35:25,90,0.62,1
2025-11-06,16:45:34,16:46:25,90,0.86,1
2025-11-06,16:46:29,16:47:13,90,0.72,1
2025-11-06,16:53:16,16:53:17,90,0.02,0
2025-11-06,16:53:53,16:53:55,90,0.02,0
2025-11-06,16:53:55,16:53:56,90,0.01,0
2025-11-06,16:53:56,16:53:57,90,0.01,0
2025-11-06,16:53:57,16:53:58,90,0.01,0
2025-11-06,16:53:58,16:53:59,90,0.01,0
2025-11-06,16:53:59,16:54:44,90,0.75,1
2025-11-06,17:20:02,17:20:08,90,0.1,0
2025-11-06,17:20:09,17:21:00,90,0.86,1
